
1010,1111111000000000111111111111000000001111,1010,Success;
0101,1111111100000001111111111110000000011111,1010,Failure;
1100,1111111111111111111111111111100000001110,1110,Failure;
0011,1111111000000111000000011111111111111111,1011,Failure;
1010,1111110000000111111111110000000011111111,1101,Failure;
0101,0000000011111111110000000001111111111111,0101,Success;
1100,1111111111111111111000000001110000000111,1100,Success;
0011,1110000000011000000001111111111111111111,0011,Success;
1010,1111111000000001111111111000000011111111,1001,Failure;
0101,1111000000111111111000000011111111111111,0101,Success;
1100,1111111111111111111111000000001100000001,1100,Success;
0011,1000000011100000000111111111111111111111,0011,Success;
1010,1111111100000001111111111000000011111111,1001,Failure;
0101,1100000000011111111100000001111111111111,0101,Success;
1100,1111111111111111111110000001100000000111,1100,Success;
0011,1110000000011100000000111111111111111111,0011,Success;
